BypassID,TechniqueID,BypassName,Category,Cluster,CNI,Result,Detail,Timestamp
"B01","T1611","hostNetwork Pod NetworkPolicy Bypass","Network Namespace","kind-cilium-cluster","Cilium (eBPF)","ERROR","hostNetwork pod failed to start (status: pod/bypass-hostnet created
Running) — image pull blocked by egress policy or admission control","20260422_124729"
"B02","T1057","hostPID Namespace Process Visibility","Network Namespace","kind-cilium-cluster","Cilium (eBPF)","ERROR","hostPID pod failed to start (status: pod/bypass-hostpid created
Running)","20260422_124729"
"B03","T1611","hostIPC Namespace Shared Memory Access","Network Namespace","kind-cilium-cluster","Cilium (eBPF)","ERROR","hostIPC pod failed to start (status: pod/bypass-hostipc created
Running)","20260422_124729"
"B04","T1611","Privileged Container Capability Bypass","Network Namespace","kind-cilium-cluster","Cilium (eBPF)","ERROR","Privileged pod failed to start (status: pod/bypass-privileged created
Running)","20260422_124729"
"B05","T1599","IPv6 Dual-Stack Enforcement Gap","Protocol Bypass","kind-cilium-cluster","Cilium (eBPF)","ERROR","No IPv6 pod IPs found — IPv6 not enabled in KIND config. Enable with ipv6Subnet in KIND config","20260422_124729"
"B06","T1048","UDP Protocol Bypass","Protocol Bypass","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","6 UDP ports reachable externally — default-deny may not fully cover UDP traffic","20260422_124729"
"B07","T1571","SCTP Protocol Bypass","Protocol Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","SCTP unavailable or blocked — kernel module not loaded or CNI filtering SCTP","20260422_124729"
"B08","T1571","Non-Standard Port Range Bypass","Protocol Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","All non-standard ports blocked — default-deny covering all unlisted ports correctly","20260422_124729"
"B09","T1018","ICMP Protocol Bypass (Ping Sweep)","Protocol Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","All ICMP blocked — CNI filtering ICMP traffic or no hosts responding","20260422_124729"
"B10","T1021","NodePort Service Bypass","Service Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","NodePort 32734 unreachable from attacker pod — CNI blocking even NodePort-routed traffic","20260422_124729"
"B11","T1021","Direct Pod IP Bypass (ClusterIP bypass)","Service Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","Direct pod IP connection blocked — NetworkPolicy correctly applied to pod IP, not just ClusterIP","20260422_124729"
"B12","T1046","DNS Service Enumeration Post-Default-Deny","Service Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","DNS resolution failed — default-deny blocking UDP 53 to kube-dns. WARNING: this breaks legitimate cluster DNS too","20260422_124729"
"B13","T1530","Link-Local Metadata Endpoint Bypass","Service Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","169.254.169.254 unreachable — egress policy blocking link-local range or no metadata service present","20260422_124729"
"B14","T1040","Raw Socket Bypass (AF_PACKET)","Kernel Bypass","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","AF_PACKET raw socket opened successfully — attacker can craft arbitrary L2 frames bypassing netfilter/iptables. NetworkPolicy operates at L3+; raw L2 packets bypass it entirely","20260422_124729"
"B15","T1562.001","iptables Direct Rule Manipulation","Kernel Bypass","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","iptables FORWARD chain flushed — 0
0 CNI rules removed. For Calico: this removes NetworkPolicy enforcement entirely. For Cilium: eBPF enforcement persists as iptables is not Cilium's enforcement mechanism","20260422_124729"
"B16","T1611","/proc Network Namespace Pivot","Kernel Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","/proc network files empty or unreadable","20260422_124729"
"B17","T1571","Loopback Interface Bypass","Kernel Bypass","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","No services on loopback — loopback bypass not applicable to this pod (0 non-loopback listeners)","20260422_124729"
"B18","T1562","Policy Propagation Race Condition","CNI-Specific","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","Connection succeeded during 1-second policy deletion window — enforcement gap exists during policy changes. Time-of-check to time-of-enforcement gap exploitable","20260422_124729"
"B19","T1078","Cross-Namespace Traffic Bypass","CNI-Specific","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","UDP to kube-dns (10.96.0.10:53) succeeded — egress default-deny blocks cross-namespace traffic but DNS UDP may be implicitly permitted","20260422_124729"
"B20","T1021","Headless Service Direct Pod IP Access","CNI-Specific","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","DNS resolution failed for headless service — DNS egress blocked by default-deny","20260422_124729"
"B21","T1090","HTTP CONNECT Proxy Tunnel Bypass","Application Layer","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","HTTP CONNECT not accepted (000000) — no open proxy available or frontend blocked by NetworkPolicy","20260422_124729"
"B22","T1071.004","DNS Tunneling Covert C2 Channel","Application Layer","kind-cilium-cluster","Cilium (eBPF)","ALLOWED","External DNS reachable — A record: ;; communications er, TXT: ;; communications error to 8.8. Full DNS tunneling C2 channel viable. NetworkPolicy cannot inspect DNS content; only Cilium L7 DNS policy with allowed domains list can prevent arbitrary DNS queries","20260422_124729"
"B23","T1071.001","WebSocket Protocol Upgrade Bypass","Application Layer","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","Frontend unreachable — NetworkPolicy blocking TCP:80, WebSocket bypass not possible","20260422_124729"
"B24","T1046","gRPC Reflection Service Discovery","Application Layer","kind-cilium-cluster","Cilium (eBPF)","BLOCKED","All gRPC ports unreachable — NetworkPolicy blocking TCP to gRPC services","20260422_124729"
