TechniqueID,TechniqueName,Tactic,Cluster,CNI,Phase,Result,Detail,Timestamp
"T1190","Exploit Public-Facing Application","Initial Access","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","HTTP 200 from frontend:80 — full app accessible with no credentials","20260418_113909"
"T1613","Container and Resource Discovery","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","API server returned no pod list — RBAC or NetworkPolicy blocking","20260418_113909"
"T1046","Network Service Scanning","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","11/11 service ports open to attacker pod — full service map discoverable","20260418_113909"
"T1210","Exploitation of Remote Services (Redis)","Lateral Movement","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","Redis PING returned PONG — unauthenticated read/write access to live cart database","20260418_113909"
"T1021.004","Remote Services — Lateral Movement","Lateral Movement","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","11/11 lateral paths open — attacker can reach internal microservices directly","20260418_113909"
"T1552.007","Container API Credentials (SA Token Read)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","SA token readable at /var/run/secrets/kubernetes.io/serviceaccount/token — token prefix: eyJhbGciOiJSUzI1NiIsImtpZCI6IlMzNXM1RXc3...","20260418_113909"
"T1552.007","API Server Secrets via Service Account Token","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","Secrets endpoint denied — RBAC or NetworkPolicy blocking API server access","20260418_113909"
"T1552.004","Credentials in Environment Variables","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","89 service connection strings exposed as env vars — all ClusterIPs/ports visible","20260418_113909"
"T1005","Data from Local System (Redis Session Dump)","Collection","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","Redis DBSIZE returned 150 keys — live user cart data accessible without credentials","20260418_113909"
"T1609","Container Administration Command","Execution","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","API server denied pod list — exec path unavailable","20260418_113909"
"T1611","Escape to Host (Host Filesystem Access)","Privilege Escalation","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","Host /etc/ visible via /proc/1/root — container has elevated host access: alpine-release apk bash ","20260418_113909"
"T1562.001","Disable or Modify Tools (iptables)","Defense Evasion","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","iptables rules visible from inside pod (0
0 rules) — CNI enforcement rules exposed to attacker","20260418_113909"
"T1048","Exfiltration Over Alternative Protocol (DNS)","Exfiltration","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","External DNS query reached 8.8.8.8 — egress unrestricted, DNS exfiltration path open","20260418_113909"
"T1489","Service Stop (Pod Deletion via API)","Impact","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","Deletion denied — RBAC preventing destructive operations","20260418_113909"
"T1499","Endpoint Denial of Service","Impact","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","10/10 rapid requests reached frontend — no inter-pod rate limiting enforced","20260418_113909"
"T1610","Deploy Container via API","Execution","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","Pod creation denied — RBAC preventing workload deployment","20260418_113909"
"T1059.013","Container CLI/API (kubectl inside pod)","Execution","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","kubectl failed — API server unreachable or RBAC denied","20260418_113909"
"T1040","Network Sniffing (tcpdump)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","tcpdump captured live packets on eth0 — 0 packets visible. NOTE: NetworkPolicy cannot prevent sniffing; only encryption (mTLS) mitigates this","20260418_113909"
"T1018","Remote System Discovery (ICMP Ping Sweep)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","0/10 ICMP pings responded — CNI blocking ICMP or no hosts in range","20260418_113909"
"T1049","System Network Connections Discovery (/proc/net/tcp)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","20 TCP connection entries in /proc/net/tcp — active connection map readable. NOTE: This is a filesystem read; NetworkPolicy cannot block it","20260418_113909"
"T1083","File and Directory Discovery (Secrets/Mounts)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","327 files found in secret paths, 1 secret mounts — CA cert, SA token, namespace all readable. NOTE: Filesystem; NetworkPolicy cannot block","20260418_113909"
"T1557.002","ARP Cache Poisoning (L2 ARP Spoofing)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","ARP replies received from 10.96.96.125 — L2 adjacency confirmed. ARP table shows 1 entries. Gratuitous ARP possible: NetworkPolicy does not operate at L2","20260418_113909"
"T1530","Data from Cloud Storage (Metadata Endpoint)","Collection","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","TCP to 169.254.169.254:80 succeeded — link-local metadata range reachable","20260418_113909"
"T1078","Valid Accounts — Cross-Namespace API Access","Persistence","kind-cilium-cluster","Cilium (eBPF)","phase1","BLOCKED","kube-system access denied (HTTP 403) — RBAC correctly scoped to single namespace","20260418_113909"
"T1071.004","DNS as Application Layer Protocol (TXT/C2)","Command and Control","kind-cilium-cluster","Cilium (eBPF)","phase1","ALLOWED","Internal DNS works (A record resolved) but external TXT queries timed out. Partial DNS egress restriction. Internal A: 10.96.96.125","20260418_113909"
