TechniqueID,TechniqueName,Tactic,Cluster,CNI,Phase,Result,Detail,Timestamp
"T1190","Exploit Public-Facing Application","Initial Access","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","HTTP 000000 — frontend unreachable from attacker pod","20260420_174146"
"T1613","Container and Resource Discovery","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","API server returned no pod list — RBAC or NetworkPolicy blocking","20260420_174146"
"T1046","Network Service Scanning","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","0/11 ports reachable — default-deny blocking all service discovery","20260420_174146"
"T1210","Exploitation of Remote Services (Redis)","Lateral Movement","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","redis-cart:6379 unreachable — NetworkPolicy protecting database","20260420_174146"
"T1021.004","Remote Services — Lateral Movement","Lateral Movement","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","0/11 lateral paths — full east-west isolation achieved by CNI","20260420_174146"
"T1552.007","Container API Credentials (SA Token Read)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","SA token readable at /var/run/secrets/kubernetes.io/serviceaccount/token — token prefix: eyJhbGciOiJSUzI1NiIsImtpZCI6IlMzNXM1RXc3...","20260420_174146"
"T1552.007","API Server Secrets via Service Account Token","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","Secrets endpoint denied — RBAC or NetworkPolicy blocking API server access","20260420_174146"
"T1552.004","Credentials in Environment Variables","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","89 service connection strings exposed as env vars — all ClusterIPs/ports visible","20260420_174146"
"T1005","Data from Local System (Redis Session Dump)","Collection","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","Redis unreachable — cannot collect session data","20260420_174146"
"T1609","Container Administration Command","Execution","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","API server denied pod list — exec path unavailable","20260420_174146"
"T1611","Escape to Host (Host Filesystem Access)","Privilege Escalation","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","Host /etc/ visible via /proc/1/root — container has elevated host access: alpine-release apk bash ","20260420_174146"
"T1562.001","Disable or Modify Tools (iptables)","Defense Evasion","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","iptables rules visible from inside pod (0
0 rules) — CNI enforcement rules exposed to attacker","20260420_174146"
"T1048","Exfiltration Over Alternative Protocol (DNS)","Exfiltration","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","External DNS and port 53 blocked — egress filtering active","20260420_174146"
"T1489","Service Stop (Pod Deletion via API)","Impact","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","Deletion denied — RBAC preventing destructive operations","20260420_174146"
"T1499","Endpoint Denial of Service","Impact","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","0/10 requests reached target — rate limiting or NetworkPolicy active","20260420_174146"
"T1610","Deploy Container via API","Execution","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","Pod creation denied — RBAC preventing workload deployment","20260420_174146"
"T1059.013","Container CLI/API (kubectl inside pod)","Execution","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","kubectl failed — API server unreachable or RBAC denied","20260420_174146"
"T1040","Network Sniffing (tcpdump)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","tcpdump captured live packets on eth0 — 0 packets visible. NOTE: NetworkPolicy cannot prevent sniffing; only encryption (mTLS) mitigates this","20260420_174146"
"T1018","Remote System Discovery (ICMP Ping Sweep)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","0/10 ICMP pings responded — CNI blocking ICMP or no hosts in range","20260420_174146"
"T1049","System Network Connections Discovery (/proc/net/tcp)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","/proc/net/tcp not readable or empty — procfs restricted","20260420_174146"
"T1083","File and Directory Discovery (Secrets/Mounts)","Discovery","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","327 files found in secret paths, 1 secret mounts — CA cert, SA token, namespace all readable. NOTE: Filesystem; NetworkPolicy cannot block","20260420_174146"
"T1557.002","ARP Cache Poisoning (L2 ARP Spoofing)","Credential Access","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","ARP replies received from 10.96.96.125 — L2 adjacency confirmed. ARP table shows 1 entries. Gratuitous ARP possible: NetworkPolicy does not operate at L2","20260420_174146"
"T1530","Data from Cloud Storage (Metadata Endpoint)","Collection","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","169.254.169.254 unreachable — metadata endpoint not accessible (expected in KIND/bare-metal)","20260420_174146"
"T1078","Valid Accounts — Cross-Namespace API Access","Persistence","kind-cilium-cluster","Cilium (eBPF)","phase2","BLOCKED","API server unreachable for cross-namespace query — NetworkPolicy blocking API access","20260420_174146"
"T1071.004","DNS as Application Layer Protocol (TXT/C2)","Command and Control","kind-cilium-cluster","Cilium (eBPF)","phase2","ALLOWED","External TXT query reached 8.8.8.8 — DNS tunneling C2 channel viable. TXT response: ;; communications error to 8.8.8.8#53: timed out. Egress DNS not restricted by query type","20260420_174146"
